date,forecast_bts
2025-09-04,845053.6
2025-09-05,854576.4
2025-09-06,860278.4
2025-09-07,863862.25
2025-09-08,598324.0
2025-09-09,551591.3
2025-09-10,513427.5
2025-09-11,491404.1
2025-09-12,787404.8
2025-09-13,810725.9
2025-09-14,827993.8
2025-09-15,542122.5
2025-09-16,508258.94
2025-09-17,789329.6
2025-09-18,811194.0
2025-09-19,828187.6
2025-09-20,840993.25
2025-09-21,850544.5
2025-09-22,565234.94
2025-09-23,525214.5
2025-09-24,807006.56
2025-09-25,824973.56
2025-09-26,839063.9
2025-09-27,849714.25
2025-09-28,857650.9
2025-09-29,572882.5
2025-09-30,531190.06
2025-10-01,815099.6
2025-10-02,831605.7
2025-10-03,844542.8
