date,predicted_passengers,day_of_week,is_weekend,model,forecast_day
2025-09-04,77588,Thursday,0,XGBoost,1
2025-09-05,78627,Friday,0,XGBoost,2
2025-09-06,78252,Saturday,1,XGBoost,3
2025-09-07,78705,Sunday,1,XGBoost,4
2025-09-08,77968,Monday,0,XGBoost,5
2025-09-09,77850,Tuesday,0,XGBoost,6
2025-09-10,77588,Wednesday,0,XGBoost,7
2025-09-11,78975,Thursday,0,XGBoost,8
2025-09-12,78885,Friday,0,XGBoost,9
2025-09-13,78515,Saturday,1,XGBoost,10
2025-09-14,78932,Sunday,1,XGBoost,11
2025-09-15,78438,Monday,0,XGBoost,12
2025-09-16,78051,Tuesday,0,XGBoost,13
2025-09-17,77374,Wednesday,0,XGBoost,14
2025-09-18,78291,Thursday,0,XGBoost,15
2025-09-19,79017,Friday,0,XGBoost,16
2025-09-20,77481,Saturday,1,XGBoost,17
2025-09-21,78470,Sunday,1,XGBoost,18
2025-09-22,77868,Monday,0,XGBoost,19
2025-09-23,77550,Tuesday,0,XGBoost,20
2025-09-24,77293,Wednesday,0,XGBoost,21
2025-09-25,78174,Thursday,0,XGBoost,22
2025-09-26,78926,Friday,0,XGBoost,23
2025-09-27,77396,Saturday,1,XGBoost,24
2025-09-28,78076,Sunday,1,XGBoost,25
2025-09-29,77919,Monday,0,XGBoost,26
2025-09-30,77438,Tuesday,0,XGBoost,27
2025-10-01,77213,Wednesday,0,XGBoost,28
2025-10-02,77879,Thursday,0,XGBoost,29
2025-10-03,78509,Friday,0,XGBoost,30
